unit table ['0x23d84'] colony table ['0x26986']
u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=6 t=8 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=12 t=16 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=18 t=24 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=24 t=33 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=30 t=41 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=36 t=50 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=42 t=58 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=48 t=66 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=54 t=74 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=60 t=83 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
