unit table cands ['0x23d84'] colony cands ['0x26986']
u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=6 t=8 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=12 t=16 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=18 t=24 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=24 t=33 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=30 t=41 u1 x=254 y=254 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=36 t=50 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=42 t=58 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=48 t=66 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=54 t=74 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 16]
n=60 t=83 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=62 VC=100 IS=290 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 16]
